"o1"	"o2"	"o3"	"o4"	"o5"	"o6"	"o7"	"o8"	"o9"	"o10"	"o11"	"o12"	"o13"	"o14"	"o15"	"o16"	"o17"	"o18"	"o19"	"o20"	"o21"	"o22"	"o23"	"k1"	"k2"	"k3"	"k4"	"k5"	"k6"	"k7"	"k8"	"k10"	"k11"	"k12"	"k13"	"k14"	"k15"	"k16"	"k17"	"k18"	"k19"	"k20"	"k21"	"k22"	"k23"	"k24"	"k25"	"k26"	"k27"	"k28"	"k29"	"k30"	"leseferism.etatism"	"mat_econimic"	"mat_social"	"father_edu"	"mother_edu"	"year_at_uni"	"uni_programme"	"work_experience"	"hometown_size"	"birthdate"	"gender"	"age"	"eduprog4"	"eduprog3"	"knowIV"	"opinionIV"	"country"	"libsoc"	"liberalism"	"socialism"	"rawlib"	"rawsoc"	"knowraw"	"ngknow"	"peduord"	"uniyear"	"ngfinance"	"edu3country"
"g140"	"Agree"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"DontKnow"	"DontKnow"	"Disagree"	"DontKnow"	"Disagree"	1	0	1	0	1	0	1	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	2	4	1	"higher_edu"	"higher_edu"	"BA_3"	"Management"	"1_year+"	">500k"	1993	"female"	22	"EBMF"	"EBMF"	0	0	"PL"	7	0	1	7	6	11	-8	4	3	-5	"EBMF.PL"
"g141"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	0	3	3	2	"higher_edu"	"higher_edu"	"BA_3"	"Finance"	"1_year+"	">500k"	1993	"female"	22	"EBMF"	"EBMF"	0	0	"PL"	-2	3	1	10	10	18	6	4	3	1	"EBMF.PL"
"g142"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	0	1	1	0	0	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	4	3	3	"higher_edu"	"higher_edu"	"BA_3"	"Finance"	"1_year+"	"100k-500k"	1993	"female"	22	"EBMF"	"EBMF"	0	0	"PL"	2	0	2	5	12	13	-4	4	3	-9	"EBMF.PL"
"g143"	"Disagree"	"Disagree"	"DontKnow"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	3	4	4	"<=vocational"	"<=vocational"	"BA_3"	"Finance"	"Up_to_1_year"	"<10k-100k"	1993	"male"	22	"EBMF"	"EBMF"	0	0	"PL"	-3	2	0	11	6	22	14	0	3	3	"EBMF.PL"
"1"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	0	1	1	1	0	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	1	0	1	1	1	1	0	1	8	3	3	"higher_edu"	"high_school"	"BA_3"	"Administration"	"1_year+"	"<1k-5k"	1993	"female"	22	"SSH"	"SSHA"	0	0	"CZ"	0	2	2	12	8	19	8	3	3	-1	"SSHA.CZ"
"2"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	1	0	1	0	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1	6	2	3	"higher_edu"	"higher_edu"	"BA_1"	"Finance/Actuarial"	"Up_to_1_year"	">100k"	1995	"male"	20	"SSH"	"SSHA"	0	0	"CZ"	3	1	4	4	14	20	10	4	1	3	"SSHA.CZ"
"3"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	0	1	0	0	1	0	1	2	3	2	"higher_edu"	"high_school"	"BA_2"	"Economy"	"1_year+"	">100k"	1994	"female"	21	"EBMF"	"EBMF"	0	0	"CZ"	-3	3	0	14	6	18	6	3	2	5	"EBMF.CZ"
"4"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	0	1	1	1	1	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	0	0	1	1	3	4	4	"high_school"	"higher_edu"	"BA_2"	"Economy"	"1_year+"	">100k"	1992	"male"	23	"EBMF"	"EBMF"	0	0	"CZ"	-2	2	0	13	5	17	4	3	2	-3	"EBMF.CZ"
"5"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	0	0	0	1	0	1	1	0	1	0	1	0	0	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	0	6	3	2	"high_school"	"<=vocational"	"BA_2"	"Finance/Actuarial"	NA	">100k"	1993	"male"	22	"SSH"	"SSHA"	0	0	"CZ"	3	1	4	3	13	15	0	1	2	-3	"SSHA.CZ"
"6"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	"Disagree"	"Agree"	0	0	1	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	7	3	1	"high_school"	"high_school"	"BA_1"	"Finance/Actuarial"	"1_year+"	"<1k-5k"	1994	"female"	21	"SSH"	"SSHA"	0	0	"CZ"	1	1	2	4	14	21	12	2	1	3	"SSHA.CZ"
"7"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	0	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	1	0	0	1	1	1	0	1	1	0	0	1	1	6	3	3	"high_school"	"high_school"	"BA_2"	"Finance/Actuarial"	"Up_to_1_year"	"5k-20k"	1993	"male"	22	"SSH"	"SSHA"	0	0	"CZ"	1	3	4	7	12	15	0	2	2	1	"SSHA.CZ"
"8"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	0	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	3	3	2	"high_school"	"<=vocational"	"BA_3"	"Economy"	"Up_to_1_year"	"5k-20k"	1992	"male"	23	"EBMF"	"EBMF"	0	0	"CZ"	-1	2	2	8	12	21	12	1	3	5	"EBMF.CZ"
"9"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	4	3	3	"higher_edu"	"high_school"	"BA_2"	"Economy"	"1_year+"	">100k"	1993	"male"	22	"EBMF"	"EBMF"	0	0	"CZ"	1	2	2	8	12	21	12	3	2	1	"EBMF.CZ"
"10"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	0	1	1	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	4	3	3	"high_school"	"high_school"	"BA_2"	"Finance/Actuarial"	NA	"5k-20k"	1993	"female"	22	"SSH"	"SSHA"	0	0	"CZ"	3	1	2	10	8	18	6	2	2	3	"SSHA.CZ"
"11"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	1	0	1	1	0	1	1	0	0	1	1	1	0	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	3	3	3	"<=vocational"	"high_school"	"BA_2"	"Economy"	"1_year+"	"<1k-5k"	1993	"female"	22	"EBMF"	"EBMF"	0	0	"CZ"	-2	3	1	13	7	19	8	1	2	1	"EBMF.CZ"
"12"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	0	0	1	1	1	1	0	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	8	2	1	"high_school"	"higher_edu"	"BA_1"	"Finance/Actuarial"	NA	"<1k"	1994	"female"	21	"SSH"	"SSHA"	0	0	"CZ"	4	0	4	6	14	20	10	3	1	1	"SSHA.CZ"
"13"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	0	1	1	1	5	3	3	"high_school"	"high_school"	"BA_3"	"Economy"	"1_year+"	"20k-100k"	1993	"female"	22	"EBMF"	"EBMF"	0	0	"CZ"	-3	3	0	13	7	19	8	2	3	3	"EBMF.CZ"
"14"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	0	0	1	0	1	0	1	1	0	1	0	1	0	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	3	3	3	"<=vocational"	"high_school"	"BA_3"	"Economy"	"Up_to_1_year"	">100k"	1992	"male"	23	"EBMF"	"EBMF"	0	0	"CZ"	5	1	2	7	13	18	6	1	3	-1	"EBMF.CZ"
"15"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	0	0	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	5	2	1	"high_school"	"high_school"	"BA_1"	"Finance/Actuarial"	"Up_to_1_year"	"<1k-5k"	1995	"male"	20	"SSH"	"SSHA"	0	0	"CZ"	-1	2	1	9	10	23	16	2	1	3	"SSHA.CZ"
"16"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	NA	NA	NA	NA	NA	NA	"Math/CS"	NA	NA	NA	NA	NA	"STEM"	"STEM"	0	0	"CZ"	-2	3	1	13	6	23	16	NA	NA	5	"STEM.CZ"
"17"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	0	1	1	0	1	1	0	1	0	1	0	1	0	1	1	1	1	0	0	1	0	1	1	0	0	1	0	1	1	3	3	3	"high_school"	"higher_edu"	"BA_2"	"Economy"	"1_year+"	"<1k-5k"	1992	"male"	23	"EBMF"	"EBMF"	0	0	"CZ"	2	1	1	10	10	17	4	3	2	-1	"EBMF.CZ"
"18"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	4	4	"high_school"	"high_school"	"BA_3"	"Economy"	"1_year+"	">100k"	1993	"male"	22	"EBMF"	"EBMF"	0	0	"CZ"	-3	3	0	18	2	22	14	2	3	3	"EBMF.CZ"
"19"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"DontKnow"	"DontKnow"	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	"Math/CS"	NA	NA	NA	NA	NA	"STEM"	"STEM"	0	0	"CZ"	-4	2	0	11	7	24	18	NA	NA	5	"STEM.CZ"
"20"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	0	1	0	1	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	4	3	4	"PHD+"	"<=vocational"	"BA_3"	"Economy"	"1_year+"	"<1k-5k"	1991	"female"	24	"EBMF"	"EBMF"	0	0	"CZ"	4	0	4	3	17	20	10	3	3	1	"EBMF.CZ"
"21"	"Agree"	"Agree"	"DontKnow"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Disagree"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	2	4	3	"<=vocational"	"high_school"	"BA_2"	"Economy"	"1_year+"	"20k-100k"	1991	"male"	24	"EBMF"	"EBMF"	0	0	"CZ"	-3	1	0	12	5	23	16	1	2	5	"EBMF.CZ"
"22"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	2	4	4	"higher_edu"	"higher_edu"	"BA_3"	"Economy"	"1_year+"	">100k"	1991	"male"	24	"EBMF"	"EBMF"	0	0	"CZ"	-1	2	1	12	8	22	14	4	3	5	"EBMF.CZ"
"23"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	3	4	3	"high_school"	"higher_edu"	"BA_3"	"Economy"	"1_year+"	"20k-100k"	1993	"male"	22	"EBMF"	"EBMF"	0	0	"CZ"	-3	3	0	16	4	21	12	3	3	3	"EBMF.CZ"
"24"	"Agree"	"Agree"	"DontKnow"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	0	0	1	1	0	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	2	4	3	"higher_edu"	"higher_edu"	"BA_3"	"Economy"	"Up_to_1_year"	"5k-20k"	1992	"male"	23	"EBMF"	"EBMF"	0	0	"CZ"	-1	1	0	10	5	20	10	4	3	3	"EBMF.CZ"
"25"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	"Agree"	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	1	0	1	0	1	3	4	3	"higher_edu"	"high_school"	"BA_3"	"Economy"	"1_year+"	">100k"	1993	NA	22	"EBMF"	"EBMF"	0	0	"CZ"	-1	2	1	11	7	18	6	3	3	1	"EBMF.CZ"
"26"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	4	3	2	"higher_edu"	"high_school"	"BA_1"	"Finance/Actuarial"	"Up_to_1_year"	">100k"	1995	"female"	20	"SSH"	"SSHA"	0	0	"CZ"	2	2	4	6	14	21	12	3	1	3	"SSHA.CZ"
"27"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	4	3	"higher_edu"	"higher_edu"	"BA_3"	"Economy"	"Up_to_1_year"	">100k"	1992	"male"	23	"EBMF"	"EBMF"	0	0	"CZ"	-3	3	0	17	3	20	10	4	3	-1	"EBMF.CZ"
"28"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	1	0	0	0	1	2	4	3	"<=vocational"	"<=vocational"	"BA_3"	"Economy"	"1_year+"	"20k-100k"	1993	"male"	22	"EBMF"	"EBMF"	0	0	"CZ"	-2	2	0	12	8	18	6	0	3	1	"EBMF.CZ"
"29"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1	0	1	1	4	3	3	"<=vocational"	"high_school"	"BA_1"	"Finance/Actuarial"	"No_experience"	"20k-100k"	1995	"female"	20	"SSH"	"SSHA"	0	0	"CZ"	-2	4	2	9	11	20	10	1	1	5	"SSHA.CZ"
"30"	"DontKnow"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Disagree"	"Disagree"	0	1	0	1	1	0	1	1	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	4	3	3	"high_school"	"higher_edu"	"BA_3"	"Economy"	"No_experience"	"20k-100k"	1992	"female"	23	"EBMF"	"EBMF"	0	0	"CZ"	-2	3	1	9	5	17	4	3	3	-1	"EBMF.CZ"
"31"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	3	3	3	"high_school"	"high_school"	"BA_3"	"Economy"	"1_year+"	"<1k"	1992	"male"	23	"EBMF"	"EBMF"	0	0	"CZ"	1	2	3	9	11	22	14	2	3	3	"EBMF.CZ"
"32"	"Agree"	"Agree"	"DontKnow"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	2	3	3	"<=vocational"	"high_school"	"BA_3"	"Economy"	"Up_to_1_year"	"20k-100k"	1993	"female"	22	"EBMF"	"EBMF"	0	0	"CZ"	NA	0	0	10	6	22	14	1	3	3	"EBMF.CZ"
"33"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	2	3	3	"<=vocational"	"<=vocational"	"BA_3"	"Economy"	"Up_to_1_year"	"<1k"	1993	"male"	22	"EBMF"	"EBMF"	0	0	"CZ"	-2	2	0	14	6	21	12	0	3	1	"EBMF.CZ"
"34"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	4	3	3	"high_school"	"higher_edu"	"BA_3"	"Economy"	"1_year+"	">100k"	1991	"male"	24	"EBMF"	"EBMF"	0	0	"CZ"	-2	3	1	11	8	23	16	3	3	5	"EBMF.CZ"
"35"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	0	1	3	4	3	"higher_edu"	"higher_edu"	"BA_2"	"Economy"	"No_experience"	"5k-20k"	1993	"female"	22	"EBMF"	"EBMF"	0	0	"CZ"	2	2	4	9	9	21	12	4	2	7	"EBMF.CZ"
"36"	"Agree"	"Agree"	"DontKnow"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	3	3	3	"higher_edu"	"PHD+"	"BA_3"	"Economy"	"1_year+"	">100k"	1993	"male"	22	"EBMF"	"EBMF"	0	0	"CZ"	-3	3	0	14	5	23	16	5	3	5	"EBMF.CZ"
"37"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Agree"	0	1	0	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1	0	1	1	6	2	2	"high_school"	"high_school"	"BA_2"	"Math/CS"	"Up_to_1_year"	"<1k"	1993	"female"	22	"STEM"	"STEM"	0	0	"CZ"	1	1	2	6	13	18	6	2	2	1	"STEM.CZ"
