"o1"	"o2"	"o3"	"o4"	"o5"	"o6"	"o7"	"o8"	"o9"	"o10"	"o11"	"o12"	"o13"	"o14"	"o15"	"o16"	"o17"	"o18"	"o19"	"o20"	"o21"	"o22"	"o23"	"k1"	"k2"	"k3"	"k4"	"k5"	"k6"	"k7"	"k8"	"k10"	"k11"	"k12"	"k13"	"k14"	"k15"	"k16"	"k17"	"k18"	"k19"	"k20"	"k21"	"k22"	"k23"	"k24"	"k25"	"k26"	"k27"	"k28"	"k29"	"k30"	"leseferism.etatism"	"mat_econimic"	"mat_social"	"father_edu"	"mother_edu"	"year_at_uni"	"uni_programme"	"work_experience"	"hometown_size"	"birthdate"	"gender"	"age"	"eduprog4"	"eduprog3"	"knowIV"	"opinionIV"	"libsoc"	"wlibsoc"	"liberalism"	"socialism"
"90"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	1	6	3	3	"higher_edu"	"higher_edu"	"BA_2"	"International_Rel"	"No_experience"	">100k"	1993	"male"	22	"SSH"	"SSHA"	0	0	4	2	0	4
"91"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	1	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	6	2	3	"high_school"	"high_school"	"BA_2"	"International_Rel"	"No_experience"	">100k"	1993	"male"	22	"SSH"	"SSHA"	0	0	4	2	0	4
"92"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"DontKnow"	"DontKnow"	"Disagree"	"Disagree"	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	0	0	1	1	1	1	1	1	1	3	4	3	"high_school"	"higher_edu"	"BA_1"	"International_Rel"	"No_experience"	">100k"	1995	"female"	20	"SSH"	"SSHA"	0	0	4	2	0	2
"93"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	0	0	0	0	1	1	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	1	1	0	1	0	1	1	1	3	3	3	"high_school"	"higher_edu"	"BA_2"	"International_Rel"	"No_experience"	"5k-20k"	1993	"female"	22	"SSH"	"SSHA"	0	0	1	0.5	1	2
"94"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	0	0	0	1	0	0	0	1	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	6	3	3	"vocational"	"high_school"	"BA_2"	"International_Rel"	"Up_to_1_year"	">100k"	1993	"female"	22	"SSH"	"SSHA"	0	0	2	1	0	2
"95"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	0	0	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	0	0	1	0	1	1	0	1	1	0	1	1	5	3	3	"PHD+"	"higher_edu"	"BA_2"	"International_Rel"	"No_experience"	"<1k"	1994	"female"	21	"SSH"	"SSHA"	0	0	3	1.5	0	3
"96"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	1	1	0	0	1	0	1	1	0	0	1	1	0	1	4	3	3	"high_school"	"high_school"	NA	"International_Rel"	NA	NA	NA	NA	NA	"SSH"	"SSHA"	0	0	4	2	0	4
"97"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	0	0	1	0	0	1	0	0	0	1	1	NA	NA	1	1	NA	1	0	1	0	NA	1	NA	NA	NA	NA	NA	NA	5	2	2	"high_school"	"high_school"	"BA_2"	"International_Rel"	"No_experience"	"20k-100k"	1994	"male"	21	"SSH"	"SSHA"	1	0	1	0.5	2	3
"98"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	3	4	3	"PHD+"	"PHD+"	"BA_2"	"International_Rel"	"Up_to_1_year"	">100k"	1992	"male"	23	"SSH"	"SSHA"	0	0	2	1	1	3
"99"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	6	3	3	"higher_edu"	"higher_edu"	"BA_2"	"International_Rel"	"Up_to_1_year"	"5k-20k"	1994	"male"	21	"SSH"	"SSHA"	0	0	2	1	2	4
"100"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	6	3	4	"higher_edu"	"higher_edu"	"BA_2"	"Sociology"	"Up_to_1_year"	"5k-20k"	1994	"female"	21	"SSH"	"SSHA"	0	0	1	0.3	2	3
"101"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	1	0	1	0	1	0	0	0	0	0	1	NA	NA	NA	0	1	1	NA	NA	1	1	1	1	NA	NA	NA	NA	1	0	6	4	4	"vocational"	"vocational"	"BA_2"	"Sociology"	"Up_to_1_year"	NA	1993	"male"	22	"SSH"	"SSHA"	1	0	4	2	0	4
"102"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	1	1	0	4	4	3	"vocational"	"vocational"	"BA_1"	"Sociology"	"Up_to_1_year"	">100k"	1993	"male"	22	"SSH"	"SSHA"	0	0	1	0.7	2	3
"103"	"Disagree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	1	1	1	1	1	6	3	3	"high_school"	"higher_edu"	"BA_1"	"Sociology"	"Up_to_1_year"	"<1k-5k"	1995	"female"	20	"SSH"	"SSHA"	0	0	4	2	0	4
"104"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Disagree"	1	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	0	1	1	0	1	0	0	1	1	8	3	4	"higher_edu"	"PHD+"	"BA_1"	"Sociology"	"1_year+"	">100k"	1994	"male"	21	"SSH"	"SSHA"	0	0	-1	-0.3	3	2
"105"	"Agree"	"Agree"	"DontKnow"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Disagree"	"Agree"	0	1	0	1	1	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	0	1	1	1	4	3	3	"higher_edu"	"higher_edu"	"BA_2"	"Sociology"	"No_experience"	">100k"	1994	"female"	21	"SSH"	"SSHA"	0	0	2	0.75	1	3
"106"	"Agree"	"DontKnow"	"Disagree"	"Disagree"	"DontKnow"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"DontKnow"	"DontKnow"	"DontKnow"	"DontKnow"	"DontKnow"	"DontKnow"	0	0	0	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	5	3	2	"PHD+"	"higher_edu"	"BA_2"	"Sociology"	"No_experience"	"20k-100k"	1994	"female"	21	"SSH"	"SSHA"	0	0	3	1.5	0	3
"107"	"Agree"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	3	3	2	"higher_edu"	"higher_edu"	"BA_2"	"Sociology"	"Up_to_1_year"	NA	1995	"female"	20	"SSH"	"SSHA"	0	0	-4	-2	4	0
"108"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1	1	4	3	3	"higher_edu"	"higher_edu"	"BA_2"	"Sociology"	"1_year+"	">100k"	1994	"female"	21	"SSH"	"SSHA"	0	0	3	1.1	2	3
"109"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	1	1	1	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	8	2	2	"higher_edu"	"high_school"	"BA_2"	"Sociology"	"No_experience"	"20k-100k"	1994	"female"	21	"SSH"	"SSHA"	0	0	4	2	0	4
"110"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	1	1	4	3	3	"higher_edu"	"higher_edu"	"BA_2"	"Sociology"	"No_experience"	">100k"	1993	"female"	22	"SSH"	"SSHA"	0	0	4	2	0	4
"111"	"Agree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"DontKnow"	"Disagree"	"Disagree"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Agree"	1	1	1	0	1	0	0	1	1	0	0	0	1	0	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	NA	NA	NA	"high_school"	"high_school"	"BA_2"	"Sociology"	"No_experience"	"20k-100k"	1994	"female"	21	"SSH"	"SSHA"	0	0	1	0.5	2	2
"112"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	"DontKnow"	"DontKnow"	"Agree"	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	0	1	0	8	3	3	"PHD+"	"PHD+"	"BA_1"	"Sociology"	"No_experience"	NA	1995	"female"	20	"SSH"	"SSHA"	0	0	4	2	0	4
"113"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Disagree"	1	0	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	1	0	7	2	2	"high_school"	"high_school"	"BA_2"	"Sociology"	"1_year+"	"<1k-5k"	1994	"female"	21	"SSH"	"SSHA"	0	0	1	0.7	2	3
"114"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	1	0	1	1	0	0	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	1	0	0	10	1	1	"high_school"	"higher_edu"	"BA_2"	"Sociology"	"No_experience"	"5k-20k"	1992	"male"	23	"SSH"	"SSHA"	0	0	1	0.9	2	3
"115"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	0	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	1	1	5	3	2	"PHD+"	"higher_edu"	"BA_1"	"Sociology"	"No_experience"	">100k"	1995	"female"	20	"SSH"	"SSHA"	0	0	2	1	1	3
"116"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	0	1	NA	1	1	NA	NA	0	0	NA	1	NA	NA	NA	0	1	NA	1	1	1	0	NA	NA	NA	0	1	0	1	0	6	2	2	"higher_edu"	"high_school"	"BA_2"	"Sociology"	"Up_to_1_year"	">100k"	1996	"female"	19	"SSH"	"SSHA"	1	0	3	1.5	0	1
"117"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"DontKnow"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	"DontKnow"	"Agree"	"Disagree"	"Agree"	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	6	3	3	"high_school"	"high_school"	"BA_2"	"Sociology"	"No_experience"	">100k"	1994	"female"	21	"SSH"	"SSHA"	0	0	1	0.5	1	2
"118"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Disagree"	0	0	1	0	1	1	0	1	1	0	1	1	0	0	1	1	0	0	0	1	0	1	1	1	0	0	1	1	1	7	3	3	"high_school"	"higher_edu"	"BA_2"	"Sociology"	"No_experience"	">100k"	1994	"female"	21	"SSH"	"SSHA"	0	0	1	0.5	2	3
"119"	"Agree"	"DontKnow"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Agree"	1	1	0	0	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	3	4	4	"higher_edu"	"higher_edu"	"BA_2"	"Journalism"	"No_experience"	"5k-20k"	1993	"male"	22	"SSH"	"SSHA"	0	0	0	0	3	3
"120"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"DontKnow"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Agree"	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	7	3	3	"higher_edu"	"high_school"	"BA_1"	"Journalism"	NA	"20k-100k"	1995	"female"	20	"SSH"	"SSHA"	0	0	-2	-1.25	3	1
"121"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	0	1	1	0	1	0	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	2	3	3	"PHD+"	"PHD+"	"BA_2"	"Journalism"	"Up_to_1_year"	"5k-20k"	1995	"male"	20	"SSH"	"SSHA"	0	0	-1	-0.5	2	1
"122"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	4	1	"vocational"	"higher_edu"	"BA_2"	"Political_Science"	"No_experience"	"5k-20k"	1992	"male"	23	"SSH"	"SSHA"	0	0	2	0.75	1	3
"123"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	1	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	4	3	3	"higher_edu"	"high_school"	"BA_1"	"Political_Science"	NA	"5k-20k"	1995	"male"	20	"SSH"	"SSHA"	0	0	3	1.5	0	3
"124"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Disagree"	1	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	5	3	3	"high_school"	"high_school"	"BA_2"	"Political_Science"	"1_year+"	"5k-20k"	1994	"female"	21	"SSH"	"SSHA"	0	0	2	1	2	4
"125"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	0	0	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	6	3	4	"vocational"	"vocational"	"BA_3"	"Math/CS"	"No_experience"	NA	1992	"male"	23	"STEM"	"STEM"	0	0	-1	0.0999999999999996	3	2
"126"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	0	0	1	1	1	0	1	1	0	0	1	1	1	1	0	0	1	0	1	1	0	1	0	1	1	0	1	1	1	3	3	3	"higher_edu"	"high_school"	"BA_3"	"Math/CS"	"No_experience"	NA	1992	"male"	23	"STEM"	"STEM"	0	0	1	0.7	2	3
"127"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Agree"	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	4	3	3	"higher_edu"	"high_school"	"BA_3"	"Math/CS"	"1_year+"	NA	1993	"male"	22	"STEM"	"STEM"	0	0	1	0.5	2	3
"128"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	2	4	3	"higher_edu"	"higher_edu"	"BA_3"	"Math/CS"	"Up_to_1_year"	NA	1993	"male"	22	"STEM"	"STEM"	0	0	-4	-2	4	0
"129"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	0	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	3	3	3	"higher_edu"	"higher_edu"	"BA_3"	"Math/CS"	"1_year+"	NA	1993	"male"	22	"STEM"	"STEM"	0	0	1	0.5	2	3
"130"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	0	1	1	3	4	3	"high_school"	"higher_edu"	"BA_2"	"Math/CS"	"No_experience"	NA	1994	"male"	21	"STEM"	"STEM"	0	0	3	1.5	0	3
"131"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Agree"	0	0	1	1	0	1	1	1	0	0	1	1	0	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	0	2	3	4	"PHD+"	"higher_edu"	"BA_2"	"Math/CS"	"Up_to_1_year"	NA	1993	"female"	22	"STEM"	"STEM"	0	0	-2	-0.666666666666667	4	2
"132"	"DontKnow"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	0	0	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	6	3	3	"higher_edu"	"higher_edu"	"BA_3"	"Math/CS"	"No_experience"	NA	1992	"male"	23	"STEM"	"STEM"	0	0	4	1.75	1	3
"133"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	3	3	2	"high_school"	"vocational"	"BA_3"	"Math/CS"	"No_experience"	NA	1992	"male"	23	"STEM"	"STEM"	0	0	4	2	0	2
"134"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	0	1	NA	1	0	0	NA	1	NA	NA	1	1	NA	NA	1	1	1	0	1	1	0	1	NA	NA	1	1	NA	1	1	2	2	4	"PHD+"	"PHD+"	"BA_3"	"Math/CS"	"1_year+"	NA	1988	"male"	27	"STEM"	"STEM"	1	0	3	1.5	0	3
